index,prediction,ground_truth
824,plastic,plastic
831,samsung,samsung
837,silicone,silicone
844,wood,wood
854,hello kitty,hello kitty
857,6,6
859,lion,lion
861,abstract,abstract
868,i love you,i love you
877,v,v
879,black,black
880,blue,blue
882,peacock,peacock
890,red,red
897,yes,yes
898,aquarius,aquarius
908,purple,purple
911,r,r
927,1,1
931,yes,yes
938,2,2
942,red,red
950,giraffe,giraffe
960,red,red
962,tiger,tiger
981,plastic,plastic
982,blue,blue
987,queen,queen
988,girl boss,girl boss
989,yes,yes
997,o,o
998,love,love
1000,plastic,plastic
1010,brick,brick
1011,plastic,plastic
1012,queen,queen
1020,blue,blue
1025,peacock,peacock
1030,london,london
1033,silicone,silicone
1039,yes,yes
1051,love,love
1053,q,q
1054,yes,yes
1063,love,love
1067,abstract,abstract
1074,girl boss,girl boss
1076,red,red
1083,purple,purple
1095,blue,blue
1109,yellow,yellow
1122,wood,wood
1125,gold,gold
1134,brick wall,brick wall
1138,never stop dreaming,never stop dreaming
1145,red,red
1147,red,red
1152,plastic,plastic
1154,lion,lion
1172,wood,wood
1174,red,red
1184,silicone,silicone
1185,yes,yes
1198,abstract,abstract
1202,plastic,plastic
1208,y,y
1210,purple,purple
1230,plastic,plastic
1233,pink,pink
1234,s,s
1238,f,f
1239,plastic,plastic
1254,girl boss,girl boss
1256,yellow,yellow
1260,tiger,tiger
1264,plastic,plastic
1266,cat,cat
1267,hello kitty,hello kitty
1276,paris,paris
1285,plastic,plastic
1289,abstract,abstract
1306,plastic,plastic
1313,enjoy your own life,enjoy your own life
1315,pink,pink
1320,panda,panda
1321,wood,wood
1336,red,red
1343,yes,yes
1347,hearts,hearts
1348,red,red
1351,black,black
1368,plastic,plastic
1381,black,black
1387,pink,pink
1390,plastic,plastic
1394,pizza,pizza
1415,uk,uk
1420,tiger,tiger
1445,yellow,yellow
1454,yes,yes
1466,stone,stone
1471,happy girls are the prettiest,happy girls are the prettiest
1481,happy girls are the prettiest,happy girls are the prettiest
1483,a,a
1484,orange,orange
1489,plastic,plastic
1493,love,love
1503,nonstick,nonstick
1510,black,black
1520,blue,blue
1522,wood,wood
1535,blue,blue
1546,orange,orange
1557,pillow,pillow
1559,blue,blue
1573,chevron,chevron
1595,blue,blue
1609,curtain,curtain
1620,love,love
1628,no,no
1639,white,white
1641,curtain,curtain
1645,yes,yes
1650,red,red
1653,white,white
1665,yes,yes
1687,wood,wood
1689,brown,brown
1690,pillow,pillow
1694,bed,bed
1695,green,green
1697,rectangle,rectangle
1706,plastic,plastic
1709,wood,wood
1729,blue,blue
1733,wood,wood
1758,pillow,pillow
1761,metal,metal
1767,bedding,bedding
1782,black,black
1796,gray,gray
1811,black,black
1813,pillow,pillow
1817,mirror,mirror
1818,pillow,pillow
1823,4,4
1827,white,white
1844,3,3
1853,bedding,bedding
1861,steel,steel
1881,bedding,bedding
1888,curtains,curtains
1890,plastic,plastic
1891,metal,metal
1897,red,red
1898,yellow,yellow
1907,red,red
1914,blue,blue
1915,metal,metal
1924,curtain,curtain
1928,a4,a4
1929,curtain,curtain
1930,rectangular,rectangular
1957,black,black
1959,brown,brown
1964,blue,blue
1968,yes,yes
1977,metal,metal
1984,bedding,bedding
1990,silver,silver
1993,bed,bed
2005,metal,metal
2022,yes,yes
2032,yes,yes
2033,white,white
2034,curtain,curtain
2042,red,red
2044,yes,yes
2058,chair,chair
2059,wood,wood
2060,yes,yes
2061,black,black
2075,beige,beige
2077,white,white
2093,polyester,polyester
2101,yes,yes
2106,metal,metal
2107,umi,umi
2113,acrylic,acrylic
2123,round,round
2139,plastic,plastic
2140,plastic,plastic
2142,wood,wood
2161,pink,pink
2163,bedding,bedding
2168,pillow,pillow
2171,curtain,curtain
2182,yes,yes
2187,bed,bed
2194,bed,bed
2200,metal,metal
2201,pillow,pillow
2204,metal,metal
2205,curtain,curtain
2206,wood,wood
2209,3,3
2211,curtain,curtain
2213,brown,brown
2215,orange,orange
2218,4,4
2219,cookware,cookware
2226,black,black
2268,elsa,elsa
2270,pillow,pillow
2272,twin,twin
2273,cotton,cotton
2277,velvet,velvet
2300,curtain,curtain
2304,cotton,cotton
2338,wood,wood
2348,plaid,plaid
2373,blue,blue
2374,plastic,plastic
2377,blue,blue
2388,3,3
2413,bed,bed
2418,bed,bed
2447,mattress,mattress
2467,white,white
2472,white,white
2473,purple,purple
2498,white,white
2512,bedding,bedding
2522,cotton,cotton
2527,beige,beige
2532,pillow,pillow
2535,white,white
2542,pink,pink
2547,pink,pink
2560,purple,purple
2567,white,white
2573,white,white
2584,cotton,cotton
2591,black,black
2594,red,red
2595,curtain,curtain
2598,green,green
2606,yes,yes
2609,black,black
2610,white,white
2612,velvet,velvet
2619,yellow,yellow
2627,black,black
2673,white,white
2674,velvet,velvet
2685,bed,bed
2697,black,black
2704,brown,brown
2715,red,red
2722,blue,blue
2729,white,white
2735,yes,yes
2741,pillow,pillow
2752,bed,bed
2764,blue,blue
2772,yes,yes
2790,4,4
2795,glass,glass
2805,yes,yes
2820,desk,desk
2822,black,black
2837,leather,leather
2845,gray,gray
2887,yes,yes
2891,fabric,fabric
2894,yes,yes
2912,mdf,mdf
2913,glass,glass
2919,white,white
2934,ottoman,ottoman
2936,glass,glass
2938,ottoman,ottoman
2940,2,2
2941,ottoman,ottoman
2942,butterfly,butterfly
2946,ottoman,ottoman
2948,elephant,elephant
2957,ottoman,ottoman
2964,5,5
2966,fabric,fabric
2970,wood,wood
2980,wood,wood
2998,yes,yes
3007,leather,leather
3011,wood,wood
3018,plastic,plastic
3023,black,black
3029,wood,wood
3042,metal,metal
3045,3,3
3062,wood,wood
3070,plastic,plastic
3073,wood,wood
3081,fabric,fabric
3082,black,black
3087,wood,wood
3099,sofa,sofa
3104,blue,blue
3105,metal,metal
3117,clock,clock
3123,white,white
3132,furniture,furniture
3133,leather,leather
3145,fabric,fabric
3148,desk,desk
3149,yes,yes
3158,wood,wood
3161,fabric,fabric
3169,metal,metal
3171,grey,grey
3176,wood,wood
3177,beige,beige
3190,together,together
3194,wood,wood
3207,grey,grey
3213,fabric,fabric
3215,ottoman,ottoman
3219,glass,glass
3220,red,red
3222,leather,leather
3224,brown,brown
3225,mattress,mattress
3237,leather,leather
3242,leather,leather
3252,1200,1200
3253,yes,yes
3272,plastic,plastic
3303,dinnerware,dinnerware
3308,silver,silver
3358,red,red
3360,stainless steel,stainless steel
3366,plastic,plastic
3376,glass,glass
3378,upright,upright
3387,red,red
3390,clear,clear
3395,orange,orange
3397,apples,apples
3407,dinnerware,dinnerware
3414,plastic,plastic
3438,plastic,plastic
3439,white,white
3445,lamp,lamp
3448,lamp,lamp
3450,metal,metal
3452,white,white
3460,lamp,lamp
3464,white,white
3466,black,black
3469,lamp,lamp
3475,lamp,lamp
3476,lamp,lamp
3477,white,white
3480,lamp,lamp
3482,brass,brass
3484,glass,glass
3486,lamp,lamp
3488,metal,metal
3490,brass,brass
3494,lamp,lamp
3498,glass,glass
3501,metal,metal
3502,lamp,lamp
3503,lamp,lamp
3506,lamp,lamp
3509,metal,metal
3510,metal,metal
3512,lamp,lamp
3515,metal,metal
3516,metal,metal
3528,brass,brass
3529,glass,glass
3532,metal,metal
3534,lamp,lamp
3535,metal,metal
3538,lamp,lamp
3547,white,white
3554,yes,yes
3567,6,6
3588,white,white
3601,white,white
3630,2,2
3643,white,white
3644,yes,yes
3647,white,white
3652,4,4
3655,mr16,mr16
3662,2,2
3663,white,white
3669,yes,yes
3687,light bulb,light bulb
3691,light bulb,light bulb
3699,2,2
3714,white,white
3738,white,white
3739,metal,metal
3741,green,green
3743,yes,yes
3745,metal,metal
3746,white,white
3756,cork,cork
3761,plastic,plastic
3765,black,black
3772,yes,yes
3781,100,100
3792,paper,paper
3806,plastic,plastic
3808,yes,yes
3825,2021,2021
3828,plastic,plastic
3834,blue,blue
3836,black,black
3870,plastic,plastic
3878,black,black
3879,green,green
3882,plastic,plastic
3885,plastic,plastic
3906,white,white
3924,2,2
3927,yes,yes
3934,metal,metal
3937,pink,pink
3940,yes,yes
3941,yes,yes
3942,yes,yes
3943,elephant,elephant
3944,yes,yes
3945,yes,yes
3946,green,green
3947,yes,yes
3950,yes,yes
3953,orange,orange
3955,blue,blue
3956,yellow,yellow
3957,yes,yes
3959,yes,yes
3960,green,green
3961,yes,yes
3962,yes,yes
3963,yes,yes
3965,w,w
3968,yes,yes
3969,yes,yes
3971,blue,blue
3972,yes,yes
3976,yes,yes
3977,yes,yes
3979,blue,blue
3980,yes,yes
3983,yes,yes
3984,orange,orange
3985,yes,yes
3986,yes,yes
3987,yellow,yellow
3988,yes,yes
3989,yes,yes
3990,yes,yes
3992,hearts,hearts
3993,love,love
3994,yes,yes
3995,yes,yes
3997,yes,yes
4003,black,black
4004,black,black
4005,pink,pink
4009,yes,yes
4010,yes,yes
4012,yes,yes
4013,yes,yes
4014,yes,yes
4015,yes,yes
4016,yes,yes
4020,black,black
4021,yes,yes
4022,yes,yes
4023,yes,yes
4024,orange,orange
4025,lion,lion
4026,yes,yes
4027,yes,yes
4028,yes,yes
4029,yes,yes
4030,red,red
4031,black,black
4032,yes,yes
4033,yes,yes
4034,yes,yes
4035,yes,yes
4036,yes,yes
4037,wood,wood
4038,yes,yes
4039,yes,yes
4040,black,black
4041,yes,yes
4042,yes,yes
4043,pink,pink
4044,gold,gold
4046,yes,yes
4047,yes,yes
4048,gold,gold
4049,yes,yes
4051,yes,yes
4053,yes,yes
4055,red,red
4056,yes,yes
4057,yes,yes
4059,yes,yes
4060,yes,yes
4062,yes,yes
4064,yes,yes
4065,yes,yes
4066,yes,yes
4068,yes,yes
4069,pink,pink
4070,yes,yes
4071,yes,yes
4072,yes,yes
4073,yes,yes
4074,red,red
4075,pink,pink
4077,yes,yes
4079,yes,yes
4080,yes,yes
4081,yes,yes
4082,black,black
4083,lavender,lavender
4084,yes,yes
4085,yes,yes
4086,yes,yes
4087,yes,yes
4088,black,black
4090,yes,yes
4091,yes,yes
4094,lion,lion
4095,yes,yes
4097,blue,blue
4098,yes,yes
4099,yes,yes
4100,yes,yes
4102,yes,yes
4103,yes,yes
4105,yes,yes
4107,yellow,yellow
4108,yes,yes
4110,red,red
4111,yes,yes
4112,yes,yes
4114,yes,yes
4116,orange,orange
4117,black,black
4118,yes,yes
4119,blue,blue
4120,cracked,cracked
4121,yes,yes
4122,red,red
4123,black,black
4125,yes,yes
4126,yes,yes
4127,red,red
4128,yes,yes
4130,heart,heart
4132,yes,yes
4133,yes,yes
4135,yes,yes
4137,yes,yes
4138,red,red
4139,pink,pink
4140,black,black
4141,black,black
4143,yes,yes
4144,yes,yes
4145,blue,blue
4146,yes,yes
4147,black,black
4148,orange,orange
4149,orange,orange
4150,orange,orange
4152,yes,yes
4153,yes,yes
4154,yes,yes
4155,black,black
4156,red,red
4157,heart,heart
4158,blue,blue
4159,yes,yes
4161,blue,blue
4163,yes,yes
4164,yes,yes
4165,yes,yes
4166,yes,yes
4167,yes,yes
4171,yes,yes
4172,black,black
4174,panda,panda
4176,yes,yes
4178,yellow,yellow
4179,black,black
4180,yes,yes
4181,yes,yes
4182,yes,yes
4183,yes,yes
4184,yes,yes
4185,yes,yes
4186,blue,blue
4187,yes,yes
4188,yes,yes
4189,yes,yes
4190,yes,yes
4191,yes,yes
4192,yellow,yellow
4193,yes,yes
4194,yes,yes
4195,yes,yes
4196,yes,yes
4197,yes,yes
4198,blue,blue
4199,yes,yes
4202,yes,yes
4204,yes,yes
4205,yes,yes
4206,yes,yes
4207,yes,yes
4208,wood,wood
4209,yes,yes
4210,pink,pink
4212,yes,yes
4213,black,black
4214,yes,yes
4215,yes,yes
4216,yes,yes
4217,yes,yes
4219,yes,yes
4220,blue,blue
4221,yes,yes
4223,yes,yes
4224,yes,yes
4226,yes,yes
4227,yes,yes
4228,yes,yes
4230,red,red
4234,graffiti,graffiti
4235,yes,yes
4237,yes,yes
4240,red,red
4243,blue,blue
4244,yes,yes
4245,orange,orange
4246,yes,yes
4249,pink,pink
4250,black,black
4252,yes,yes
4253,blue,blue
4254,yes,yes
4255,yes,yes
4256,black,black
4257,yes,yes
4258,yes,yes
4259,yes,yes
4261,yes,yes
4262,pink,pink
4263,black,black
4264,yes,yes
4265,yes,yes
4266,yes,yes
4267,black,black
4268,red,red
4269,yes,yes
4274,orange,orange
4275,yes,yes
4276,yes,yes
4278,yes,yes
4280,black,black
4281,black,black
4283,orange,orange
4284,yes,yes
4285,yes,yes
4287,yes,yes
4288,black,black
4289,black,black
4291,yes,yes
4293,black,black
4294,yes,yes
4295,yes,yes
4299,yes,yes
4300,pink,pink
4301,yes,yes
4302,yes,yes
4305,green,green
4306,yes,yes
4308,orange,orange
4309,black,black
4310,yes,yes
4314,brown,brown
4316,black,black
4317,yes,yes
4318,yes,yes
4319,black,black
4321,tiger,tiger
4322,yes,yes
4323,yes,yes
4324,yes,yes
4326,yes,yes
4327,yes,yes
4328,blue,blue
4330,red,red
4331,yes,yes
4332,blue,blue
4333,yes,yes
4334,yes,yes
4336,blue,blue
4337,black,black
4339,green,green
4342,yes,yes
4343,yes,yes
4344,brown,brown
4345,yes,yes
4349,black,black
4350,orange,orange
4351,yes,yes
4353,multicolor,multicolor
4354,h,h
4355,yes,yes
4356,black,black
4357,pink,pink
4358,yes,yes
4359,yes,yes
4360,black,black
4362,yes,yes
4365,yes,yes
4366,black,black
4368,blue,blue
4369,black,black
4371,yes,yes
4372,yes,yes
4373,yes,yes
4374,yes,yes
4375,yes,yes
4377,c,c
4378,orange,orange
4380,black,black
4381,red,red
4383,yes,yes
4385,yes,yes
4388,yes,yes
4390,pink,pink
4392,yes,yes
4393,yes,yes
4394,yes,yes
4396,yes,yes
4399,yes,yes
4400,hearts,hearts
4403,yes,yes
4405,black,black
4406,green,green
4408,yes,yes
4410,yes,yes
4412,yes,yes
4413,yes,yes
4414,black,black
4415,green,green
4418,black,black
4419,books,books
4421,bear,bear
4422,yes,yes
4426,yes,yes
4427,yes,yes
4428,yes,yes
4429,yes,yes
4430,yes,yes
4431,lion,lion
4435,black,black
4437,blue,blue
4438,yellow,yellow
4439,yes,yes
4440,yes,yes
4441,yes,yes
4444,yes,yes
4445,yes,yes
4447,yes,yes
4448,pink,pink
4450,yes,yes
4452,blue,blue
4457,black,black
4459,heart,heart
4461,yes,yes
4463,yes,yes
4464,yes,yes
4468,pink,pink
4469,orange,orange
4470,yes,yes
4471,black,black
4472,orange,orange
4473,yellow,yellow
4475,pink,pink
4476,yes,yes
4478,yes,yes
4479,yes,yes
4480,yes,yes
4481,yes,yes
4482,yes,yes
4483,yes,yes
4484,white,white
4485,yes,yes
4486,yes,yes
4487,pink,pink
4488,autumn,autumn
4491,yes,yes
4492,black,black
4493,pink,pink
4494,black,black
4496,yes,yes
4497,yellow,yellow
4498,yes,yes
4499,m,m
4500,yes,yes
4503,purple,purple
4505,orange,orange
4506,yes,yes
4510,yes,yes
4511,yes,yes
4513,yes,yes
4515,pink,pink
4516,yes,yes
4517,heart,heart
4518,yes,yes
4519,yes,yes
4520,yes,yes
4521,white,white
4522,yes,yes
4523,black,black
4524,yes,yes
4525,yellow,yellow
4528,yes,yes
4530,black,black
4531,yes,yes
4532,yes,yes
4534,yes,yes
4535,yes,yes
4537,yes,yes
4538,yes,yes
4539,pink,pink
4542,motorcycle,motorcycle
4543,yes,yes
4544,yes,yes
4545,yes,yes
4547,white,white
4550,black,black
4551,m,m
4552,yes,yes
4553,yes,yes
4554,yes,yes
4555,blue,blue
4557,yes,yes
4559,yes,yes
4560,yes,yes
4561,yes,yes
4562,yes,yes
4563,yes,yes
4566,yes,yes
4567,pink,pink
4568,heart,heart
4571,yellow,yellow
4573,yes,yes
4574,yes,yes
4576,yes,yes
4577,yes,yes
4578,yes,yes
4579,red,red
4580,blue,blue
4582,pink,pink
4583,yes,yes
4585,yes,yes
4586,black,black
4590,yes,yes
4591,orange,orange
4593,yes,yes
4594,yes,yes
4595,yes,yes
4597,yes,yes
4599,s,s
4600,black,black
4601,yes,yes
4603,yes,yes
4604,yes,yes
4606,black,black
4607,black,black
4608,yes,yes
4610,black,black
4612,yes,yes
4615,yes,yes
4616,black,black
4618,yes,yes
4619,black,black
4620,yes,yes
4621,yes,yes
4622,yes,yes
4624,black,black
4625,yes,yes
4626,blue,blue
4627,yes,yes
4628,yes,yes
4629,yes,yes
4630,yes,yes
4631,purple,purple
4632,yes,yes
4633,yes,yes
4634,black,black
4635,yes,yes
4636,yes,yes
4637,yes,yes
4638,yes,yes
4639,red,red
4640,yes,yes
4641,yes,yes
4642,yes,yes
4643,yes,yes
4645,blue,blue
4646,yes,yes
4648,yes,yes
4649,yes,yes
4650,yes,yes
4651,red,red
4652,yes,yes
4653,yes,yes
4654,white,white
4655,pink,pink
4656,red,red
4658,yes,yes
4659,yes,yes
4661,wood,wood
4662,yes,yes
4663,yes,yes
4666,red,red
4667,black,black
4671,yes,yes
4672,pink,pink
4673,yes,yes
4676,yes,yes
4677,black,black
4678,yes,yes
4679,yes,yes
4680,yes,yes
4682,red,red
4683,pink,pink
4684,black,black
4685,yes,yes
4686,yes,yes
4687,yes,yes
4688,yes,yes
4689,pink,pink
4690,yes,yes
4691,yes,yes
4692,black,black
4693,yellow,yellow
4695,yes,yes
4697,purple,purple
4699,yes,yes
4700,yes,yes
4701,yes,yes
4702,yes,yes
4705,yellow,yellow
4706,yes,yes
4707,red,red
4710,red,red
4712,yes,yes
4713,yes,yes
4715,yes,yes
4716,yes,yes
4720,yes,yes
4722,yes,yes
4724,yes,yes
4725,blue,blue
4726,yes,yes
4727,yes,yes
4728,wood,wood
4729,yes,yes
4731,yes,yes
4732,yes,yes
4733,goose,goose
4736,orange,orange
4737,yes,yes
4739,yes,yes
4740,yellow,yellow
4741,purple,purple
4742,yes,yes
4743,yes,yes
4744,gold,gold
4745,yes,yes
4746,yes,yes
4747,orange,orange
4748,motorcycle,motorcycle
4750,yes,yes
4751,yes,yes
4752,yes,yes
4753,yes,yes
4754,blue,blue
4757,yes,yes
4758,orange,orange
4759,yes,yes
4760,yes,yes
4761,black,black
4762,yes,yes
4763,yes,yes
4765,black,black
4766,yes,yes
4768,yes,yes
4769,pink,pink
4770,yes,yes
4771,yes,yes
4773,yes,yes
4776,yes,yes
4777,yes,yes
4778,yes,yes
4779,yes,yes
4780,orange,orange
4781,black,black
4783,yes,yes
4784,black,black
4785,yes,yes
4788,yes,yes
4789,yes,yes
4791,yes,yes
4792,black,black
4794,yes,yes
4796,yes,yes
4797,yes,yes
4798,black,black
4799,yes,yes
4800,yes,yes
4802,yes,yes
4803,orange,orange
4804,yes,yes
4805,black,black
4806,yes,yes
4809,purple,purple
4810,yes,yes
4813,yes,yes
4814,pink,pink
4819,black,black
4820,yes,yes
4821,black,black
4823,yes,yes
4824,yes,yes
4826,blue,blue
4828,yes,yes
4830,yes,yes
4833,yes,yes
4834,yes,yes
4838,black,black
4842,blue,blue
4843,yes,yes
4844,orange,orange
4846,lion,lion
4847,yes,yes
4851,yes,yes
4856,black,black
4857,yes,yes
4858,pink,pink
4860,yes,yes
4861,yes,yes
4862,pink,pink
4863,black,black
4866,black,black
4867,blue,blue
4868,pink,pink
4869,yes,yes
4870,yes,yes
4871,black,black
4872,yes,yes
4874,wood,wood
4875,yes,yes
4876,yes,yes
4877,yes,yes
4878,black,black
4879,yes,yes
4883,yes,yes
4884,yes,yes
4885,aquarius,aquarius
4886,yes,yes
4887,yes,yes
4889,yes,yes
4890,yes,yes
4891,yes,yes
4893,unicorn,unicorn
4895,yes,yes
4896,pink,pink
4897,blue,blue
4898,yes,yes
4902,yes,yes
4903,squirrel,squirrel
4904,yes,yes
4906,yes,yes
4909,yes,yes
4910,yes,yes
4911,yes,yes
4913,yes,yes
4914,yes,yes
4916,yes,yes
4917,orange,orange
4922,yes,yes
4923,yes,yes
4924,black,black
4927,orange,orange
4928,yes,yes
4930,yes,yes
4931,yes,yes
4932,yes,yes
4933,green,green
4934,yes,yes
4937,white,white
4940,yes,yes
4941,white,white
4944,purple,purple
4945,black,black
4948,beige,beige
4950,white,white
4953,blue,blue
4954,black,black
4955,white,white
4957,white,white
4958,gingham,gingham
4960,purple,purple
4961,blue,blue
4962,yes,yes
4963,white,white
4967,yes,yes
4969,white,white
4970,white,white
4972,white,white
4973,navy,navy
4975,square,square
4976,purple,purple
4982,white,white
4983,burgundy,burgundy
4984,yes,yes
4985,beige,beige
4986,yes,yes
4987,beige,beige
4989,blue,blue
4990,white,white
4991,grey,grey
4993,yes,yes
4995,yes,yes
4996,blue,blue
4997,grey,grey
4999,white,white
5000,white,white
5001,pink,pink
5003,white,white
5004,blue,blue
5005,black,black
5006,yes,yes
5010,square,square
5013,blue,blue
5014,yes,yes
5015,yes,yes
5018,black,black
5024,yes,yes
5026,white,white
5027,cars,cars
5028,yes,yes
5029,stripes,stripes
5032,yes,yes
5033,red,red
5034,blue,blue
5035,white,white
5040,blue,blue
5042,navy,navy
5043,yes,yes
5045,white,white
5047,yes,yes
5049,white,white
5050,yes,yes
5051,yes,yes
5053,yes,yes
5055,yes,yes
5056,blue,blue
5057,green,green
5058,white,white
5061,blue,blue
5063,purple,purple
5066,purple,purple
5067,red,red
5068,white,white
5069,yes,yes
5070,white,white
5071,white,white
5073,yes,yes
5074,white,white
5078,blue,blue
5080,plaid,plaid
5082,yes,yes
5085,white,white
5086,elephants,elephants
5087,black,black
5088,white,white
5089,black,black
5091,blue,blue
5092,white,white
5094,yes,yes
5097,blue,blue
5099,yes,yes
5100,silver,silver
5101,yes,yes
5103,beige,beige
5107,yes,yes
5108,rectangle,rectangle
5109,yes,yes
5113,yes,yes
5116,black,black
5117,white,white
5119,blue,blue
5121,yes,yes
5122,yes,yes
5123,black,black
5124,yes,yes
5125,beige,beige
5126,red,red
5127,white,white
5128,white,white
5130,striped,striped
5132,brown,brown
5133,white,white
5135,yes,yes
5136,white,white
5138,yes,yes
5140,white,white
5148,yes,yes
5151,plaid,plaid
5152,yes,yes
5154,white,white
5155,yes,yes
5156,yes,yes
5157,blue,blue
5158,white,white
5160,green,green
5162,black,black
5163,beige,beige
5164,black,black
5165,purple,purple
5166,yes,yes
5167,pink,pink
5168,white,white
5169,brown,brown
5172,blue,blue
5174,white,white
5175,black,black
5176,white,white
5177,beige,beige
5180,red,red
5182,beige,beige
5183,white,white
5185,purple,purple
5187,blue,blue
5190,yes,yes
5191,black,black
5194,yes,yes
5195,yes,yes
5198,white,white
5199,blue,blue
5200,yes,yes
5201,plaid,plaid
5202,blue,blue
5203,white,white
5205,white,white
5207,white,white
5208,white,white
5210,beige,beige
5211,blue,blue
5212,white,white
5213,black,black
5216,white,white
5217,black,black
5218,white,white
5219,white,white
5220,yes,yes
5221,gray,gray
5227,yes,yes
5229,wood,wood
5232,blue,blue
5233,yes,yes
5235,white,white
5236,yes,yes
5237,yes,yes
5238,blue,blue
5239,green,green
5241,yes,yes
5242,yes,yes
5243,white,white
5244,yes,yes
5245,yes,yes
5246,white,white
5248,black,black
5249,white,white
5251,black,black
5254,yes,yes
5255,yes,yes
5257,white,white
5259,black,black
5260,blue,blue
5261,yes,yes
5263,green,green
5265,white,white
5266,white,white
5267,red,red
5268,white,white
5271,rectangular,rectangular
5272,white,white
5273,black,black
5274,white,white
5275,white,white
5276,yes,yes
5278,white,white
5279,yes,yes
5280,white,white
5282,yes,yes
5284,yes,yes
5285,white,white
5286,brown,brown
5287,yes,yes
5289,yes,yes
5290,yes,yes
5294,blue,blue
5295,yes,yes
5296,black,black
5297,yes,yes
5298,yes,yes
5303,white,white
5305,yes,yes
5307,white,white
5308,white,white
5309,yes,yes
5313,gray,gray
5315,yes,yes
5316,blue,blue
5317,white,white
5322,yes,yes
5323,square,square
5325,yes,yes
5327,yes,yes
5329,yes,yes
5330,yes,yes
5332,yes,yes
5337,yes,yes
5338,yes,yes
5340,yes,yes
5341,yes,yes
5343,rectangle,rectangle
5345,white,white
5346,white,white
5347,square,square
5348,square,square
5349,white,white
5350,gold,gold
5351,yes,yes
5354,yes,yes
5355,white,white
5356,brown,brown
5357,white,white
5359,rectangular,rectangular
5360,round,round
5361,yes,yes
5363,green,green
5364,yes,yes
5365,blue,blue
5366,round,round
5370,yes,yes
5371,yes,yes
5372,yes,yes
5373,yes,yes
5376,white,white
5378,white,white
5381,yes,yes
5383,black,black
5384,yes,yes
5385,yes,yes
5386,black,black
5387,yes,yes
5388,yes,yes
5390,white,white
5391,white,white
5393,blue,blue
5395,yes,yes
5397,white,white
5402,black,black
5403,black,black
5404,yes,yes
5405,yes,yes
5406,square,square
5409,round,round
5410,white,white
5412,white,white
5413,yes,yes
5417,yes,yes
5422,yes,yes
5426,yes,yes
5428,white,white
5429,yes,yes
5431,blue,blue
5432,yes,yes
5435,round,round
5443,yes,yes
5444,yes,yes
5446,yes,yes
5447,white,white
5448,yes,yes
5449,black,black
5451,beige,beige
5452,yes,yes
5453,brown,brown
5454,yes,yes
5458,yes,yes
5461,rectangular,rectangular
5462,yes,yes
5463,black,black
5464,white,white
5465,white,white
5467,yes,yes
5468,gray,gray
5473,yes,yes
5474,yes,yes
5475,square,square
5477,yes,yes
5478,black,black
5479,yes,yes
5483,black,black
5484,white,white
5485,yes,yes
5486,yellow,yellow
5487,yes,yes
5489,yes,yes
5490,black,black
5491,yes,yes
5496,black,black
5497,yes,yes
5498,yes,yes
5499,square,square
5500,black,black
5501,yes,yes
5502,yes,yes
5503,yes,yes
5504,blue,blue
5506,yes,yes
5510,beige,beige
5511,yes,yes
5514,cream,cream
5515,brown,brown
5516,yes,yes
5519,rectangular,rectangular
5520,black,black
5521,yes,yes
5522,round,round
5523,red,red
5524,yes,yes
5525,yes,yes
