index,prediction,ground_truth
460,girl boss,girl boss
462,,silicone
464,lion,lion
467,black,black
469,phone case,cellular phone case
474,l,l
482,,heart
484,,silicon
485,the number 6,6
487,,cellular phone case
488,,happy girls are the prettiest
489,super,super girl
490,w,w
492,,silicone
493,4,4
496,phone case,cellular phone case
500,samsung,samsung
501,peacock,peacock
502,,dads girl and mommys world
504,a,rectangle
507,,silicon
511,,samsung galaxy j5 prime
512,hello kitty,hello kitty
514,a white dog,dog
518,yellow,yellow
519,,3
524,,couple in boat
530,,apnatime aaye aayaega
531,tribal,tribal
536,wood,wood
537,samsung galaxy a9,samsung
540,,heart
541,,peach
543,,plastic
546,daddys girl,daddys girl
551,samsung galaxy a51,samsung galaxy a51
554,no bad vibes,no bad vibes
555,,silicon
566,,band
568,,harley davidson
572,red,red
575,queen,queen and a crown
579,phone case,cellular phone case
581,,polycarbonate
586,,brown
590,,safari
592,the phone cases main visible object or feature is,phone
595,the phone case is a heart with stars,heart
597,the lion,lion
603,,silicon
613,,silicon
617,,cat
620,,silicone
622,s,s
623,,graphics
625,,samsung galaxy grand 2
626,it is a cellular phone case,cellular phone case
627,phone case,cellular phone case
629,,cellular phone case
634,,cherry blossom
635,red,red
639,black,black
643,paisley,paisley
648,,plastic
653,,dunya
655,,text
659,,apnate time aayega
662,,apna time aayega
664,pink glitter stripes,stripes
666,blue,blue
671,girl boss,boss
672,pomegranate,pomegranate
673,,red
678,flowers,flowers
680,a phone case,phone case
684,phone case,cellular phone case
686,,silicon
687,red,red
689,pink,pink
690,,love
691,it is a chevron pattern,chevron
692,,hearts and pandas
693,,4
694,hello kitty,hello kitty
695,,cellular phone case
696,black,black
698,tiger,tiger
701,phone case,cellular phone case
703,,flower
706,,heart
710,red,red
714,plastic,plastic
715,t,t
716,enjoy your own life,enjoy your own life without comparing it with another
717,red and white striped wood,wood
723,,wood
731,,plastic
739,1,1
741,super,super girl
744,floral pattern,floral
748,,square
750,,plastic
754,plastic,plastic
756,,cellular phone case
760,,barbie
761,,cellular phone case
762,yes,yes
763,motorcycle,motorcycle
767,,cellular phone case
770,o,o
771,panda,panda
774,plastic,plastic
775,yes,yes
777,,cellular phone case
781,i hate everyone,i hate everyone
782,cat,cat
785,panda phone case,panda
786,,plaid
792,panda,panda
795,,samsung galaxy s8 plus
797,nail polish,nail polish
799,girl boss,girl boss
801,,cute little boy
802,pink,pink
805,pink,pink
808,,silicon
812,take it easy,take it easy
814,phone case,cellular phone case
815,,cellular phone case
816,g,g
817,it is a number 8,8
818,,lion
819,,floral
821,pink,pink
824,plastic,plastic
826,super,supergirl
831,samsung,samsung
837,silicone,silicone
840,,plastic
844,wood,wood
846,punisher skull,skull
849,,floral
853,,smiley face
854,hello kitty,hello kitty
857,6,6
858,,3
859,lion,lion
861,abstract,abstract
864,,prince
867,a cat,cat
868,i love you,i love you
869,happy girls are the prettiest,happy girls
876,,black and white
877,v,v
878,,microsoft lumia 650
879,black,black
880,blue,blue
882,peacock,peacock
883,,oppo a71
889,,xiaomi redmi note 5
890,red,red
892,,girl boss
896,phone case,cellular phone case
897,yes,yes
898,aquarius,aquarius
902,the image of the tree is the tree in the,tree
904,phone case,cellular phone case
905,,gionee f10
908,purple,purple
910,,cellular phone case
911,r,r
915,a squirrel,squirrel
917,the image is of a tree with a full moon,tree
921,,zenfone max m1
925,this is a phone case for samsung galaxy j,phone case
926,it is made of plastic,plastic
927,1,1
930,it is made of soft silicone,silicon
931,yes,yes
938,2,2
942,red,red
944,,car
946,,cellular phone case
949,,floral
950,giraffe,giraffe
952,the design of the phone case is a cute cat,cat
953,,cat
954,abstract,abstract art
955,,rainbow
956,super,supergirl
958,the design is called a floral pattern,floral
960,red,red
962,tiger,tiger
963,phone case,cellular phone case
973,,t
974,,daddys girl and mommys world
979,,white
981,plastic,plastic
982,blue,blue
984,,oppo a91
987,queen,queen
988,girl boss,girl boss
989,yes,yes
996,,lemonade
997,o,o
998,love,love
999,,flowers
1000,plastic,plastic
1010,brick,brick
1011,plastic,plastic
1012,queen,queen
1015,it is facing left,left
1020,blue,blue
1022,a girl sitting on a ball,girl
1024,,space
1025,peacock,peacock
1030,london,london
1032,,realme
1033,silicone,silicone
1036,phone case,cellular phone case
1037,,daddys girl
1039,yes,yes
1040,,plastic
1044,,butterflies
1048,a phone case,phone case
1050,bear,teddy bears
1051,love,love
1053,q,q
1054,yes,yes
1055,,nokia 62
1056,,hearts
1058,phone case,cellular phone case
1063,love,love
1067,abstract,abstract
1068,,i
1070,,multicolor
1072,,m
1073,,tree
1074,girl boss,girl boss
1075,,canvas
1076,red,red
1079,,girl
1083,purple,purple
1085,phone case,cellular phone case
1086,,gold and black floral pattern
1088,,r
1089,,flip
1095,blue,blue
1098,,mountain
1100,phone case,cellular phone case
1104,a cat,cat
1105,,prince
1109,yellow,yellow
1115,,black
1118,a pineapple,pineapple
1120,a phone case,phone case
1122,wood,wood
1123,,pattern
1125,gold,gold
1127,this is a phone case for samsung galaxy a,phone case
1129,,phone case
1130,the initial letter s,s
1134,brick wall,brick wall
1136,,2
1137,1,10
1138,never stop dreaming,never stop dreaming
1141,,pineapple
1145,red,red
1147,red,red
1151,a panda bear,bear
1152,plastic,plastic
1154,lion,lion
1157,,butterfly
1158,,silicone
1159,,dads girl and mommy wolfgang
1161,,symbol
1162,,dads girl and mommy world
1164,,siliconplastic
1168,,flower
1171,,plastic
1172,wood,wood
1174,red,red
1180,silicone,silicon
1184,silicone,silicone
1185,yes,yes
1192,,colorful
1193,,silicone
1197,it is made of plastic,plastic
1198,abstract,abstract
1200,,birds
1202,plastic,plastic
1205,,cellular phone case
1207,,silicone
1208,y,y
1210,purple,purple
1215,it is made of silicone,silicone
1216,a black and white chevron pattern,chevron
1219,purple flowers,purple
1225,,butterfly
1226,,cat
1227,the moon,moon
1228,phone case,cellular phone case
1230,plastic,plastic
1233,pink,pink
1234,s,s
1236,red and white stripes,stripes
1238,f,f
1239,plastic,plastic
1248,,silicon
1254,girl boss,girl boss
1255,,multicolor
1256,yellow,yellow
1259,,silicone
1260,tiger,tiger
1261,pink and gold stripes,gold
1263,,you are somewhere you are not
1264,plastic,plastic
1266,cat,cat
1267,hello kitty,hello kitty
1269,a dog,dog
1274,,butterfly
1276,paris,paris
1285,plastic,plastic
1286,,cellular phone
1287,,red white and blue
1288,,diamonds
1289,abstract,abstract
1292,,heart
1298,a phone case,phone case
1301,a cat,cat
1306,plastic,plastic
1309,it is a brown bear,brown
1310,,boss
1311,a peace sign,peace sign
1313,enjoy your own life,enjoy your own life
1314,samsung galaxy s6,samsung
1315,pink,pink
1320,panda,panda
1321,wood,wood
1322,,plastic
1326,red and black,red
1329,,transparent
1335,phone case,cellular phone case
1336,red,red
1337,,3gen17
1343,yes,yes
1345,,queen
1346,,dragon
1347,hearts,hearts
1348,red,red
1349,rainbow glitter,rainbow
1351,black,black
1352,,girl boss
1355,,hexagon
1358,the background is blue,blue
1359,girl boss,boss
1363,steam engine,steam
1365,,heart
1367,,silicone
1368,plastic,plastic
1369,,tropical
1372,,flowers
1374,it is a flower,flower
1377,,space
1379,,apple
1380,,still there you are not alone
1381,black,black
1386,abstract,abstract art
1387,pink,pink
1388,,renewed
1390,plastic,plastic
1394,pizza,pizza
1397,i am me and i,i am me
1401,,tree
1403,,hearts
1407,the design is a colorful pattern of circles,circles
1412,brick wall,brick
1413,,some people just need a highfive
1415,uk,uk
1416,it is a mobile phone case,phone case
1420,tiger,tiger
1421,silicone,silicon
1424,,cellular phone
1426,,silicon
1440,,cellular phone case
1445,yellow,yellow
1447,the birds are blue,blue
1451,,multicolor
1454,yes,yes
1455,phone case,cellular phone case
1464,,nokia 71
1466,stone,stone
1468,,logs
1471,happy girls are the prettiest,happy girls are the prettiest
1475,,silicone
1476,a teddy bear,teddy bear
1481,happy girls are the prettiest,happy girls are the prettiest
1483,a,a
1484,orange,orange
1485,,abstract art
1487,the candle is lit on the table,candle
1489,plastic,plastic
1493,love,love
1494,,hearts
1501,window curtain,curtain
1503,nonstick,nonstick
1508,a mesh storage bag,bag
1510,black,black
1516,farmhouse sign,farmhouse
1520,blue,blue
1522,wood,wood
1526,100 cotton,cotton
1535,blue,blue
1537,white bedding,bed
1538,pillow case,pillow
1542,a crib mattress,mattress
1546,orange,orange
1549,a towel,towel
1552,they are beige,beige
1557,pillow,pillow
1558,100 cotton,cotton
1559,blue,blue
1568,light blue,blue
1573,chevron,chevron
1575,100 cotton,cotton
1582,curtain,curtains
1586,a wooden coat hanger,hanger
1595,blue,blue
1603,100 cotton,cotton
1605,this is a broom and dustpan set,broom
1606,a mirror,mirror
1607,100 cotton,cotton
1609,curtain,curtain
1610,they are round,round
1614,100 cotton,cotton
1620,love,love
1621,vacuum bags,bags
1623,the main material of the drying rack is bamboo,bamboo
1627,eon essentials,essentials
1628,no,no
1629,bath towel,towel
1634,patio chair,chair
1636,its a square,square
1637,a storage organizer,storage
1639,white,white
1641,curtain,curtain
1645,yes,yes
1646,100 cotton,cotton
1648,storage cube,storage
1649,ironing board,ironing
1650,red,red
1653,white,white
1660,black and white stripes,stripes
1661,laundry basket,laundry
1665,yes,yes
1668,a window curtain,curtain
1673,100 cotton,cotton
1676,a cat scratching post,cat
1677,rectangular tablecloth,table
1687,wood,wood
1689,brown,brown
1690,pillow,pillow
1693,be a little wild,be
1694,bed,bed
1695,green,green
1697,rectangle,rectangle
1706,plastic,plastic
1707,stainless steel,stainless
1709,wood,wood
1713,100 cotton,cotton
1715,the pillow is tan,tan
1721,laundry basket,laundry
1722,this is a poster of the letter y,poster
1723,bedding,bed
1728,a 3 tier drying rack,rack
1729,blue,blue
1733,wood,wood
1736,portable air conditioner,portable
1739,window curtain,curtain
1740,window curtain,curtain
1743,picture frame,frame
1750,,lamp
1751,red green and yellow,red
1752,this is a certificate frame,certificate
1754,pillow case,pillow
1757,100 cotton,cotton
1758,pillow,pillow
1761,metal,metal
1763,picture frame,frame
1766,photo frame,frame
1767,bedding,bedding
1770,100 cotton,cotton
1775,the pillow is a rectangular shape,rectangular
1776,water bottle,water
1778,pet stroller,stroller
1782,black,black
1785,,home
1790,a vacuum cleaner,vacuum
1791,100 cotton,cotton
1796,gray,gray
1800,this is a storage box,storage
1802,,flowers
1806,100 cotton,cotton
1811,black,black
1812,100 cotton,cotton
1813,pillow,pillow
1817,mirror,mirror
1818,pillow,pillow
1819,the product is a tent,tent
1823,4,4
1827,white,white
1829,light blue,blue
1843,100 cotton,cotton
1844,3,3
1847,100 cotton,cotton
1851,light gray,gray
1853,bedding,bedding
1860,100 cotton,cotton
1861,steel,steel
1863,they are stainless steel water bottles,water
1870,a bed,bed
1874,this is a clear plastic storage box,plastic
1878,amazon basics black frame,amazon
1881,bedding,bedding
1883,this is a basket,basket
1887,it is a certificate,certificate
1888,curtains,curtains
1890,plastic,plastic
1891,metal,metal
1893,100 cotton,cotton
1896,cat house,cat
1897,red,red
1898,yellow,yellow
1899,tablecloth,table
1904,alligators,alligator
1905,it is a storage container for storing various items,storage
1907,red,red
1909,100 cotton,cotton
1911,they are curtains with a dark brown color,brown
1913,its made of plastic,plastic
1914,blue,blue
1915,metal,metal
1921,100 cotton,cotton
1924,curtain,curtain
1925,pillowcase,pillow
1927,portable electric space heater,heater
1928,a4,a4
1929,curtain,curtain
1930,rectangular,rectangular
1932,this is a black metal rack with a shelf,metal
1939,it is made of metal,metal
1941,stainless steel,stainless
1942,this is a tent,tent
1944,sage green,green
1945,bath towel,towel
1949,bedding,bed
1950,picture frame,picture
1951,laundry bag,laundry
1955,the frame is made of wood,wood
1957,black,black
1958,plastic storage container,container
1959,brown,brown
1960,the pillow is in the shape of a square,square
1961,curtain,curtains
1962,100 cotton,cotton
1964,blue,blue
1968,yes,yes
1971,its purple,purple
1972,monitor arm,monitor
1974,a stainless steel trash can,trash
1975,the main visible object in the image is a pillow,pillow
1976,pillow case,pillow
1977,metal,metal
1981,the beatles,beatles
1983,,vacuum
1984,bedding,bedding
1986,portable electric heater,heater
1990,silver,silver
1991,pillowcase,pillow
1993,bed,bed
1994,a pillow,pillow
1997,,9
1998,a cube storage box,storage
2002,100 cotton,cotton
2003,100 cotton,cotton
2005,metal,metal
2007,they are square,square
2014,faux fur,faux
2016,its a framed image,image
2018,picture frame,picture
2022,yes,yes
2028,100 cotton,cotton
2030,the paddle is made of wood,wood
2032,yes,yes
2033,white,white
2034,curtain,curtain
2042,red,red
2043,this is a comforter,comforter
2044,yes,yes
2047,picture frame,frame
2048,gaming chair,chair
2051,bath towel,towel
2055,portable electric space heater,heater
2058,chair,chair
2059,wood,wood
2060,yes,yes
2061,black,black
2064,they are clear plastic storage boxes,plastic
2066,a rolling storage cart,cart
2068,photo frame,frame
2070,,uk
2075,beige,beige
2076,bedding,bed
2077,white,white
2078,bathroom rug,rug
2083,pillow case,pillow
2086,100 cotton,cotton
2087,bathroom towels,towels
2089,this is a vase with blue flowers,flowers
2091,bedding,bed
2093,polyester,polyester
2096,curtain,curtains
2097,100 cotton,cotton
2101,yes,yes
2104,white and navy,white
2106,metal,metal
2107,umi,umi
2110,a pug,pug
2111,it is a gray and white striped sofa cover,gray
2113,acrylic,acrylic
2117,a wooden ladder shelf,shelf
2120,pillowcase,pillow
2123,round,round
2124,a white curtain,curtain
2127,stripe bedding,bed
2137,curtains,curtain
2139,plastic,plastic
2140,plastic,plastic
2141,water pitcher,water
2142,wood,wood
2143,,non
2147,100 cotton,cotton
2154,amazonbasics 4pack of aluminum picture frames,amazon
2155,100 cotton,cotton
2157,the main pattern is a floral pattern,floral
2158,100 cotton,cotton
2161,pink,pink
2162,portable electric heater,heater
2163,bedding,bedding
2168,pillow,pillow
2169,100 cotton,cotton
2171,curtain,curtain
2172,north america,north
2173,water bottle,water
2176,a framed photograph of big ben,big
2178,2 panels,2
2180,,wood
2182,yes,yes
2187,bed,bed
2188,blackout curtains,black
2192,certificate frame,certificate
2194,bed,bed
2197,this is a vase with flowers in it,flowers
2198,a blue plaid comforter,plaid
2200,metal,metal
2201,pillow,pillow
2203,picture frame,frame
2204,metal,metal
2205,curtain,curtain
2206,wood,wood
2208,computer desk,computer
2209,3,3
2211,curtain,curtain
2213,brown,brown
2214,100 cotton,cotton
2215,orange,orange
2218,4,4
2219,cookware,cookware
2226,black,black
2230,plastic storage containers,container
2233,,brand
2234,pillows,pillow
2238,100 cotton,cotton
2243,this is a mattress cover,mattress
2245,home garden,home
2246,,wood
2251,this is a laundry bag,bag
2257,a gray comforter,comforter
2258,pillow case,pillow
2265,the bed,bed
2268,elsa,elsa
2270,pillow,pillow
2272,twin,twin
2273,cotton,cotton
2274,bath towels,towel
2277,velvet,velvet
2281,100 cotton,cotton
2286,100 cotton,cotton
2299,100 cotton,cotton
2300,curtain,curtain
2302,100 cotton,cotton
2303,it is a pillow with a square shape,square
2304,cotton,cotton
2306,100 cotton,cotton
2312,it is a foam mattress,foam
2315,100 cotton,cotton
2316,bed sheet set,sheet
2325,bedding,bed
2336,the bear and the mummy,bear
2338,wood,wood
2339,window curtain,curtain
2340,bedding,bed
2341,100 cotton,cotton
2343,a bed sheet set,sheet
2344,red and white stripes,red
2348,plaid,plaid
2349,bedding,bed
2351,100 cotton,cotton
2354,100 cotton,cotton
2356,100 cotton,cotton
2357,,wood
2365,shower curtain,shower
2368,100 wool,wool
2372,bed sheet set,sheet
2373,blue,blue
2374,plastic,plastic
2377,blue,blue
2379,bedding,bed
2380,a bed with a pink comforter and a,comforter
2384,its a rectangle,rectangle
2385,a bed,bed
2386,100 cotton,cotton
2388,3,3
2390,bedding,bed
2394,100 cotton,cotton
2399,100 cotton,cotton
2408,they are beige,beige
2409,bedding,bed
2413,bed,bed
2418,bed,bed
2419,bath towels,towels
2426,they are red,red
2430,bed,home bed and bath
2431,pillowcase,pillow
2432,bed sheet,bed
2433,100 cotton,cotton
2434,100 cotton,cotton
2438,a bed with a striped comforter,striped
2440,100 cotton,cotton
2441,100 cotton,cotton
2445,shower curtain,shower
2447,mattress,mattress
2460,100 cotton,cotton
2461,a pillow,pillow
2463,a sheer curtain,curtain
2466,100 cotton,cotton
2467,white,white
2468,100 cotton,cotton
2469,100 cotton,cotton
2472,white,white
2473,purple,purple
2476,100 cotton,cotton
2481,a white comforter,comforter
2488,100 cotton,cotton
2498,white,white
2500,yellow and white striped towels,yellow
2502,bath towels,towels
2504,bedding,bed
2510,a queen size mattress,queen
2511,bedding,bed
2512,bedding,bedding
2521,bath towels,towel
2522,cotton,cotton
2525,,polyester
2527,beige,beige
2532,pillow,pillow
2535,white,white
2536,bed sheet,bed
2542,pink,pink
2543,bath towels,towels
2545,100 cotton,cotton
2547,pink,pink
2550,100 cotton,cotton
2551,it is a square pillow,square
2555,a bedding set,bed
2560,purple,purple
2563,refrigerator water filter,filter
2567,white,white
2569,100 cotton,cotton
2573,white,white
2576,a memory foam mattress,foam
2577,a cotton bedspread,cotton
2583,100 cotton,cotton
2584,cotton,cotton
2590,,memory
2591,black,black
2592,100 cotton,cotton
2593,100 cotton,cotton
2594,red,red
2595,curtain,curtain
2597,100 cotton,cotton
2598,green,green
2606,yes,yes
2608,100 cotton,cotton
2609,black,black
2610,white,white
2612,velvet,velvet
2613,shower curtain,shower
2619,yellow,yellow
2623,100 cotton,cotton
2626,a grey elephant,elephant
2627,black,black
2630,100 cotton,cotton
2632,100 cotton,cotton
2633,100 cotton,cotton
2635,bedding,bed
2637,curtains,curtain
2638,i love you to the moon and back,i
2647,bedding,bed
2654,the rack is made of metal,metal
2656,100 cotton,cotton
2665,100 cotton,cotton
2670,,leather
2672,bedding,bed
2673,white,white
2674,velvet,velvet
2677,bed,home bed and bath
2680,100 cotton,cotton
2681,a curtain,curtain
2685,bed,bed
2697,black,black
2700,100 cotton,100
2703,100 cotton,cotton
2704,brown,brown
2715,red,red
2717,100 cotton,cotton
2719,100 cotton,100
2721,100 cotton,cotton
2722,blue,blue
2729,white,white
2731,100 cotton,cotton
2734,bed sheet,bed
2735,yes,yes
2737,100 cotton,cotton
2738,a queen size bed with a mattress protector,mattress
2741,pillow,pillow
2742,100 cotton,cotton
2743,100 cotton,cotton
2749,the product is in the shape of a square,square
2752,bed,bed
2754,100 cotton,cotton
2761,a wooden headboard,wooden
2762,bed,bedding
2763,100 cotton,cotton
2764,blue,blue
2772,yes,yes
2773,100 cotton,cotton
2775,100 cotton,cotton
2778,100 cotton,cotton
2779,the blanket is a plaid design,plaid
2780,100 cotton,cotton
2783,the curtains,curtain
2790,4,4
2795,glass,glass
2801,home garden,home
2802,this is a wall clock,clock
2805,yes,yes
2815,dark wood,dark
2820,desk,desk
2822,black,black
2824,,futon
2825,dark brown,brown
2829,a kitchen cabinet,cabinet
2832,a bed frame,bed
2835,a white cabinet,cabinet
2837,leather,leather
2845,gray,gray
2853,it is a round clock,round
2859,furniture,home furniture and decor
2863,area rug,rug
2874,area rug,rug
2875,100 wool,wool
2876,it is a round clock,round
2885,dining chair,chair
2887,yes,yes
2891,fabric,fabric
2894,yes,yes
2912,mdf,mdf
2913,glass,glass
2918,,wood
2919,white,white
2924,area rug,rug
2928,100 wool,wool
2929,there are 12 numbers around the clock face in this,12
2934,ottoman,ottoman
2936,glass,glass
2938,ottoman,ottoman
2940,2,2
2941,ottoman,ottoman
2942,butterfly,butterfly
2946,ottoman,ottoman
2948,elephant,elephant
2949,100 wool,wool
2957,ottoman,ottoman
2964,5,5
2966,fabric,fabric
2970,wood,wood
2978,the wall paneling is made of wood,wood
2980,wood,wood
2998,yes,yes
3000,,wood
3001,solid wood,wood
3007,leather,leather
3011,wood,wood
3014,on a stand,stand
3018,plastic,plastic
3019,solid wood,wood
3020,soundo wall clock,clock
3023,black,black
3026,,brown
3029,wood,wood
3034,solid wood,wood
3042,metal,metal
3045,3,3
3047,corner desk,desk
3049,furniture,home furniture and decor
3055,office chair,chair
3062,wood,wood
3063,amazon basics,amazon
3070,plastic,plastic
3073,wood,wood
3074,furniture,home furniture and decor
3076,sewing machine,sewing
3077,metal bed frame,metal
3081,fabric,fabric
3082,black,black
3084,a bar stool,bar
3087,wood,wood
3099,sofa,sofa
3104,blue,blue
3105,metal,metal
3108,a fairy house,house
3117,clock,clock
3118,furniture,home furniture and decor
3122,a chair a rug and a table,chair
3123,white,white
3127,a corner desk,desk
3129,a wooden bench,bench
3132,furniture,furniture
3133,leather,leather
3135,it is a square shape,square
3145,fabric,fabric
3148,desk,desk
3149,yes,yes
3150,it is a round clock,round
3158,wood,wood
3161,fabric,fabric
3168,it is a wall clock,wall
3169,metal,metal
3170,solid wood,wood
3171,grey,grey
3176,wood,wood
3177,beige,beige
3179,wall sticker,wall
3182,,white
3189,,memory
3190,together,together
3191,mirror is made of glass,glass
3194,wood,wood
3198,the chair,chair
3201,a wing chair,chair
3206,2 doors,2
3207,grey,grey
3210,the clock,clock
3212,multi,multicolored
3213,fabric,fabric
3215,ottoman,ottoman
3219,glass,glass
3220,red,red
3222,leather,leather
3224,brown,brown
3225,mattress,mattress
3228,table and chairs,table
3237,leather,leather
3242,leather,leather
3252,1200,1200
3253,yes,yes
3258,stainless steel,stainless
3264,knife set,knife
3265,stainless steel,stainless
3268,it is a round shape,round
3272,plastic,plastic
3273,,renewed
3276,,2
3279,cooler bag,cooler
3280,its a printer,printer
3282,electronic digital kitchen scale,kitchen
3301,dinnerware,dinner
3302,stainless steel saucepan,saucepan
3303,dinnerware,dinnerware
3308,silver,silver
3309,it is a food storage container,container
3315,a frying pan,pan
3316,microwave,microwavegrill
3320,they are made of ceramic,ceramic
3322,white ceramic,ceramic
3326,dinnerware,dinner
3336,kitchen utensils,kitchen
3337,,kitchen
3341,stainless steel,stainless
3350,water filter pitcher,water
3358,red,red
3360,stainless steel,stainless steel
3361,dinnerware,dinner
3364,the design is called geometric and is,geometric
3365,it is made of ceramic,ceramic
3366,plastic,plastic
3371,stainless steel,stainless
3372,stainless steel,steel
3376,glass,glass
3378,upright,upright
3379,vacuum cleaner,vacuum
3381,this is a bowl,bowl
3385,microwave oven,microwave
3387,red,red
3390,clear,clear
3395,orange,orange
3397,apples,apples
3401,vacuum cleaner,vacuum
3407,dinnerware,dinnerware
3409,knife set,knife
3412,vacuum cleaner bag,bag
3414,plastic,plastic
3418,stainless steel,stainless
3421,its a round pan,round
3426,stainless steel,stainless
3431,stainless steel,stainless
3437,6 forks,6
3438,plastic,plastic
3439,white,white
3445,lamp,lamp
3448,lamp,lamp
3450,metal,metal
3452,white,white
3454,it is made of wood,wood
3457,floor lamp,lamp
3458,it is a round shade,round
3459,this is a table lamp with a white shade,table
3460,lamp,lamp
3461,floor lamp,lamp
3464,white,white
3466,black,black
3469,lamp,lamp
3470,they are round,round
3475,lamp,lamp
3476,lamp,lamp
3477,white,white
3479,this is a table lamp,lamp
3480,lamp,lamp
3481,it is made from a woven fabric,fabric
3482,brass,brass
3484,glass,glass
3486,lamp,lamp
3487,floor lamp,lamp
3488,metal,metal
3490,brass,brass
3491,it is a table lamp,table
3494,lamp,lamp
3498,glass,glass
3499,floor lamp,lamp
3501,metal,metal
3502,lamp,lamp
3503,lamp,lamp
3506,lamp,lamp
3507,floor lamp,lamp
3509,metal,metal
3510,metal,metal
3512,lamp,lamp
3514,this is a pineapple lamp,lamp
3515,metal,metal
3516,metal,metal
3520,it is a round base,round
3528,brass,brass
3529,glass,glass
3531,floor lamp,lamp
3532,metal,metal
3534,lamp,lamp
3535,metal,metal
3538,lamp,lamp
3540,modern,moderno
3544,led bulb,led
3547,white,white
3550,gu10 led bulb,led
3552,led light bulb,light
3554,yes,yes
3555,they are round,round
3559,they are all round,round
3561,,glass
3565,a b22 led bulb,led
3567,6,6
3571,they are all round,round
3574,they are round,round
3577,they are made of a combination of glass and plastic,glass
3580,the bulb is a round shape,round
3582,a light bulb,light
3583,downlight,light
3585,they are all white,white
3586,a light bulb,light
3588,white,white
3589,,40
3592,led par30,led
3593,the bulb is white,white
3597,light bulbs,light
3598,its a round bulb,round
3601,white,white
3603,they are round,round
3605,warm white,white
3606,a led bulb,led
3607,downlight,light
3608,led light bulb,light
3611,led light bulb,light
3614,they are white,white
3616,a light bulb,light
3617,,br30
3628,a,ampoule
3629,they are all white,white
3630,2,2
3632,a light bulb,light
3633,a light bulb,light
3635,candle light bulb,light
3637,led light bulb,light
3638,a light bulb,light
3643,white,white
3644,yes,yes
3647,white,white
3651,a light bulb,light
3652,4,4
3653,a light bulb,light
3655,mr16,mr16
3657,light bulb,light
3661,,50
3662,2,2
3663,white,white
3667,this is a downlight,light
