path,generated_question,generated_answer,raw_model_output,model_prediction,cleaned_prediction,cleaned_ground_truth
d9/d9db69e1.jpg,What type of product is this?,samsung galaxy j6 2018 / samsung galaxy on6,['Question: What type of product is this? Answer: guitar case for samsung galaxy j7 2017\n'],guitar case for samsung galaxy j7 2017,guitar case for samsung galaxy j7 2017,samsung galaxy j6 2018 samsung galaxy on6
9b/9b558663.jpg,What type of product is this?,Cellular phone case,['Question: What type of product is this? Answer:\n'],,,cellular phone case
e1/e1ec110a.jpg,What type of product is depicted in the image?,cellular_phone_case,['Question: What type of product is depicted in the image? Answer: A bus with a yellow bus\n'],A bus with a yellow bus,a bus with a yellow bus,cellular phone case
64/64876ec5.jpg,What shape is the object in the image?,round,['Question: What shape is the object in the image? Answer: A circle\n'],A circle,a circle,round
b8/b8e36279.jpg,What word is displayed in the image of the phone case?,black girl magic,['Question: What word is displayed in the image of the phone case? Answer: black girl magic\n'],black girl magic,black girl magic,black girl magic
a1/a1f81cc7.jpg,What material is the cover of this cell phone case made of?,vinyl,['Question: What material is the cover of this cell phone case made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,vinyl
d8/d87c6beb.jpg,What color is the cellular phone case in the image?,multicolor,['Question: What color is the cellular phone case in the image? Answer: The cellular phone case is in the image is in'],The cellular phone case is in the image is in,the cellular phone case is in the image is in,multicolor
d5/d5f05967.jpg,What type of product is this?,cell phone case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cell phone case
7d/7d504f36.jpg,What text appears in the image of the cellular phone case?,I love you!,['Question: What text appears in the image of the cellular phone case? Answer: i love you\n'],i love you,i love you,i love you
a6/a65147d9.jpg,What type of cell phone case is this?,gionee f9 plus,['Question: What type of cell phone case is this? Answer:\n'],,,gionee f9 plus
de/de1fb1bd.jpg,What type of product is shown in the image?,cellular_phone_case,['Question: What type of product is shown in the image? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
b4/b4be2541.jpg,What word is displayed on the phone case in the image?,cancer,['Question: What word is displayed on the phone case in the image? Answer: Cancer\n'],Cancer,cancer,cancer
28/282e0a3b.jpg,What type of product is this?,phone case,['Question: What type of product is this? Answer:\n'],,,phone case
df/dfea5ba2.jpg,What color are the hearts and lines on this phone case?,pink and blue,"['Question: What color are the hearts and lines on this phone case? Answer: pink, blue, green, yellow, orange,']","pink, blue, green, yellow, orange,",pink blue green yellow orange,pink and blue
15/1543cc4f.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a soft case for samsung galaxy s'],This is a soft case for samsung galaxy s,this is a soft case for samsung galaxy s,cellular phone case
89/897e8219.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A case for the sony xperia z3'],A case for the sony xperia z3,a case for the sony xperia z3,cellular phone case
c1/c1df38e9.jpg,What design element is most prominent in the image of the phone case?,sun,['Question: What design element is most prominent in the image of the phone case? Answer: The sun\n'],The sun,the sun,sun
9a/9a36378c.jpg,What is the material of this phone case?,plastic,['Question: What is the material of this phone case? Answer: It is made of polycarbonate\n'],It is made of polycarbonate,it is made of polycarbonate,plastic
1e/1e30c935.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
ba/ba3ef09a.jpg,What material is the phone case made of?,plastic,['Question: What material is the phone case made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,plastic
f8/f8f8cb95.jpg,What is the main color of the phone case in the image?,black,['Question: What is the main color of the phone case in the image? Answer: blue\n'],blue,blue,black
20/20d8c60d.jpg,What type of product is the image depicting?,cellular_phone_case,['Question: What type of product is the image depicting? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
0f/0f8d14e7.jpg,What is the phone case's main color?,pink,"[""Question: What is the phone case's main color? Answer: Hello Kitty\n""]",Hello Kitty,hello kitty,pink
f2/f2292183.jpg,What pattern is printed on the case of this cell phone?,stars,['Question: What pattern is printed on the case of this cell phone? Answer: Stars\n'],Stars,stars,stars
ef/efbfbfac.jpg,Which flag is depicted on the phone case?,Russian,['Question: Which flag is depicted on the phone case? Answer: The flag of russia\n'],The flag of russia,the flag of russia,russian
02/02013088.jpg,Is the main object in this image a cell phone?,No,"['Question: Is the main object in this image a cell phone? Answer: Yes, it is a cell phone\n']",yes,yes,no
32/32eb67a4.jpg,What is the message written in the image?,Dreaming,['Question: What is the message written in the image? Answer: Never stop dreaming\n'],Never stop dreaming,never stop dreaming,dreaming
b4/b4996ca7.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Case for sony xperia z3 compact\n'],Case for sony xperia z3 compact,case for sony xperia z3 compact,cellular phone case
92/929d06ef.jpg,What design is printed on this phone case?,hello kitty,['Question: What design is printed on this phone case? Answer: Hello Kitty\n'],Hello Kitty,hello kitty,hello kitty
92/9215f8da.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
a1/a17cd67b.jpg,What type of product is this cellular phone case?,LG X Power,['Question: What type of product is this cellular phone case? Answer: It is a phone case\n'],It is a phone case,it is a phone case,lg x power
a4/a4b6898c.jpg,Is the phone case in the image made of paper or plastic?,Paper,['Question: Is the phone case in the image made of paper or plastic? Answer: Plastic\n'],Plastic,plastic,paper
50/506d9086.jpg,What material are these candy sprinkles made of?,Plastic,['Question: What material are these candy sprinkles made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,plastic
17/1736ef06.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: a phone case\n'],a phone case,a phone case,cellular phone case
10/10ed1cc1.jpg,What type of drinkware is featured in the image?,Coffee cup,['Question: What type of drinkware is featured in the image? Answer: Coffee cup\n'],Coffee cup,coffee cup,coffee cup
ae/aed5fc4d.jpg,What number is prominently displayed on the phone case in the image?,10,['Question: What number is prominently displayed on the phone case in the image? Answer: 10\n'],10,10,10
78/7829829a.jpg,What animal is depicted on the cellular phone case?,lion,['Question: What animal is depicted on the cellular phone case? Answer: lion\n'],lion,lion,lion
7c/7cb85ec6.jpg,What flower is depicted on this product?,lily,['Question: What flower is depicted on this product? Answer: Lotus flower\n'],Lotus flower,lotus flower,lily
97/97520d0c.jpg,What shape is the star in the image of a phone case?,heart,['Question: What shape is the star in the image of a phone case? Answer:\n'],,,heart
8c/8c76589f.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
d3/d39eb569.jpg,What type of object is the case for?,cell phone,['Question: What type of object is the case for? Answer: It is a case for the phone\n'],It is a case for the phone,it is a case for the phone,cell phone
85/85115196.jpg,Which material is the phone case in the image made of?,silicone,['Question: Which material is the phone case in the image made of? Answer:\n'],,,silicone
44/440b8896.jpg,What design is printed on the cellular phone case?,Silhouette of couple,['Question: What design is printed on the cellular phone case? Answer:\n'],,,silhouette of couple
f0/f04b1efe.jpg,What is the main visible object in this image?,cell phone,['Question: What is the main visible object in this image? Answer: a flower\n'],a flower,a flower,cell phone
31/31cb2921.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
3b/3be15926.jpg,What is the main feature of this phone case?,Shoe,['Question: What is the main feature of this phone case? Answer: The main feature of this phone case is that it'],The main feature of this phone case is that it,the main feature of this phone case is that it,shoe
6c/6cc0aec1.jpg,What type of product is the image depicting?,cellular_phone_case,['Question: What type of product is the image depicting? Answer:\n'],,,cellular phone case
0b/0b9ab527.jpg,What kind of cellular phone case is shown in the image?,Galaxy A5,['Question: What kind of cellular phone case is shown in the image? Answer:\n'],,,galaxy a5
be/be970605.jpg,What type of product is the item in the image?,cellular_phone_case,['Question: What type of product is the item in the image? Answer: iphone 6 plus case\n'],iphone 6 plus case,iphone 6 plus case,cellular phone case
a3/a306d0d1.jpg,What shape is the cellular phone case in the image?,rectangular,['Question: What shape is the cellular phone case in the image? Answer: It is a rock\n'],It is a rock,it is a rock,rectangular
08/08be97e0.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
86/86e1a824.jpg,What type of product is this?,Cellular phone case,['Question: What type of product is this? Answer: This is a phone case for samsung galaxy s'],This is a phone case for samsung galaxy s,this is a phone case for samsung galaxy s,cellular phone case
96/96131643.jpg,What type of product is the image?,Cellular_phone_case,['Question: What type of product is the image? Answer: Wood grain\n'],Wood grain,wood grain,cellular phone case
c5/c592f53b.jpg,What is the main color of the phone case in the image?,Pink,['Question: What is the main color of the phone case in the image? Answer: pink\n'],pink,pink,pink
5c/5cbba42d.jpg,What design is printed on the gold glitter phone case?,confetti,['Question: What design is printed on the gold glitter phone case? Answer:\n'],,,confetti
76/766c2be0.jpg,What type of product is shown in the image?,cellular_phone_case,['Question: What type of product is shown in the image? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
87/87f934d5.jpg,What type of product is this?,Cellular Phone Case,['Question: What type of product is this? Answer: a phone case\n'],a phone case,a phone case,cellular phone case
d9/d96a679e.jpg,What kind of phone is this cover for?,iPhone 7,['Question: What kind of phone is this cover for? Answer: iphone 7 plus\n'],iphone 7 plus,iphone 7 plus,iphone 7
35/359013cb.jpg,What material is the glittery background of this phone case made of?,silicon,['Question: What material is the glittery background of this phone case made of? Answer:\n'],,,silicon
86/86be0569.jpg,What is the main feature of this cell phone case?,Bridge,['Question: What is the main feature of this cell phone case? Answer: The main feature of this cell phone case is the'],The main feature of this cell phone case is the,the main feature of this cell phone case is the,bridge
59/5914be34.jpg,What color is the phone case in the image?,black,['Question: What color is the phone case in the image? Answer: The phone case is in black\n'],The phone case is in black,the phone case is in black,black
8e/8e97bd6b.jpg,What type of vehicle is illustrated on the phone case?,truck,['Question: What type of vehicle is illustrated on the phone case? Answer: a tuk tuk\n'],a tuk tuk,a tuk tuk,truck
e2/e2e1294c.jpg,What is the prominent image printed on the phone case?,moon,['Question: What is the prominent image printed on the phone case? Answer: The moon\n'],The moon,the moon,moon
ed/ed7f2cb4.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a soft case for samsung galaxy a'],This is a soft case for samsung galaxy a,this is a soft case for samsung galaxy a,cellular phone case
77/7712e0b7.jpg,What type of motorcycle is visible in the phone case image?,Harley,['Question: What type of motorcycle is visible in the phone case image? Answer:\n'],,,harley
2f/2f93a2a0.jpg,What shape is the coffee cup in the phone case?,mug,['Question: What shape is the coffee cup in the phone case? Answer:\n'],,,mug
2e/2e8c1ea1.jpg,What type of product is visible in the image?,cellular_phone_case,['Question: What type of product is visible in the image? Answer: a marble\n'],a marble,a marble,cellular phone case
24/2416446b.jpg,What type of product is the image displaying?,cellular_phone_case,['Question: What type of product is the image displaying? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
e8/e80cf57e.jpg,What type of animal is depicted on the phone case?,dog,['Question: What type of animal is depicted on the phone case? Answer: a dog\n'],a dog,a dog,dog
7d/7d7639dc.jpg,What design is printed on the phone case?,lion,['Question: What design is printed on the phone case? Answer: The lion\n'],The lion,the lion,lion
68/68f5d04c.jpg,What type of phone case is shown in the image?,clear,['Question: What type of phone case is shown in the image? Answer:\n'],,,clear
53/53d084d7.jpg,What message is printed on the phone case?,I hate everyone,['Question: What message is printed on the phone case? Answer: i hate everyone\n'],i hate everyone,i hate everyone,i hate everyone
55/55e4e85a.jpg,What design is printed on the cellular phone case?,rainbow,['Question: What design is printed on the cellular phone case? Answer: The design is printed on the cellular phone case\n'],The design is printed on the cellular phone case,the design is printed on the cellular phone case,rainbow
a2/a26d2d2b.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
76/767f0e1e.jpg,What type of cell phone case is visible in the image?,Micromax canvas xpress 2 e313,['Question: What type of cell phone case is visible in the image? Answer:\n'],,,micromax canvas xpress 2 e313
f7/f7387c7e.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a phone case for lg g6'],This is a phone case for lg g6,this is a phone case for lg g6,cellular phone case
87/87d472cc.jpg,What type of product is displayed in the image?,cellular_phone_case,['Question: What type of product is displayed in the image? Answer: iphone 6 plus purple flowers\n'],iphone 6 plus purple flowers,iphone 6 plus purple flowers,cellular phone case
9f/9fd70042.jpg,What phrase or message is displayed on the phone case?,apna time ayega,['Question: What phrase or message is displayed on the phone case? Answer:\n'],,,apna time ayega
8e/8e5144fd.jpg,What design is printed on the phone case in the image?,text,['Question: What design is printed on the phone case in the image? Answer:\n'],,,text
38/3840f58f.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Cactus\n'],Cactus,cactus,cellular phone case
4f/4f0dcf5f.jpg,What type of product is this?,Cellular phone case,['Question: What type of product is this? Answer: anime girl\n'],anime girl,anime girl,cellular phone case
12/129a6140.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
24/24291d8b.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a phone case\n'],This is a phone case,this is a phone case,cellular phone case
ce/ce6bf0e8.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
01/010e635f.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a phone case\n'],This is a phone case,this is a phone case,cellular phone case
d7/d7db6973.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: It is a phone case\n'],It is a phone case,it is a phone case,cellular phone case
08/08efa944.jpg,What type of product is this cellular phone case?,vivo y95,['Question: What type of product is this cellular phone case? Answer: it is a mobile phone case\n'],it is a mobile phone case,it is a mobile phone case,vivo y95
7b/7bda71d3.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a phone case for the redmi note'],This is a phone case for the redmi note,this is a phone case for the redmi note,cellular phone case
cf/cf08f744.jpg,What design is printed on the cellular phone case?,hearts,['Question: What design is printed on the cellular phone case? Answer: Heart\n'],Heart,heart,hearts
38/380f91ed.jpg,What type of cellular phone case is this?,vivo v1 max,['Question: What type of cellular phone case is this? Answer: This is a phone case for the samsung galaxy'],This is a phone case for the samsung galaxy,this is a phone case for the samsung galaxy,vivo v1 max
5e/5ec01801.jpg,What type of product is the image showing?,cellular_phone_case,['Question: What type of product is the image showing? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
aa/aa4e9f64.jpg,What color is the cellphone case in the image?,multicolor,['Question: What color is the cellphone case in the image? Answer: Black and white\n'],Black and white,black and white,multicolor
0e/0e9f8617.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
38/382324f4.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
b7/b7801dae.jpg,What type of cellular phone case is this?,silicon,['Question: What type of cellular phone case is this? Answer: it is a\n'],it is a,it is a,silicon
a0/a0afacd7.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a lion phone case\n'],This is a lion phone case,this is a lion phone case,cellular phone case
ae/ae15ebbd.jpg,What type of product is the cellular phone case in the image?,canvas selfie lens q345,['Question: What type of product is the cellular phone case in the image? Answer: it is a phone case\n'],it is a phone case,it is a phone case,canvas selfie lens q345
a7/a73907a8.jpg,What design is printed on the phone case?,bunny,['Question: What design is printed on the phone case? Answer: Rabbit\n'],Rabbit,rabbit,bunny
8e/8e6a5990.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
3d/3d494e3e.jpg,What type of cellular phone case is this?,Vivo y19 / vivo u20,['Question: What type of cellular phone case is this? Answer: it is a samsung galaxy a50s\n'],it is a samsung galaxy a50s,it is a samsung galaxy a50s,vivo y19 vivo u20
21/21693e87.jpg,What kind of phone case is this?,samsung galaxy a7,['Question: What kind of phone case is this? Answer: This is a samsung galaxy a5\n'],This is a samsung galaxy a5,this is a samsung galaxy a5,samsung galaxy a7
9c/9c011bec.jpg,What type of product is depicted in the image?,cellular_phone_case,['Question: What type of product is depicted in the image? Answer: lion\n'],lion,lion,cellular phone case
60/60ab34a0.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
03/035185f0.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
fa/fae06982.jpg,What is the main object in the image?,Cellular_phone_case,['Question: What is the main object in the image? Answer: the bridge\n'],the bridge,the bridge,cellular phone case
51/5193646a.jpg,What type of object is shown in the image?,Phone Case,['Question: What type of object is shown in the image? Answer: a tree\n'],a tree,a tree,phone case
c2/c25207be.jpg,What text is on the phone case?,I am me,['Question: What text is on the phone case? Answer: i am me and i want to change\n'],i am me and i want to change,i am me and i want to change,i am me
05/05dcce3b.jpg,What type of cellular phone is this?,Samsung Galaxy J2 Core,['Question: What type of cellular phone is this? Answer: samsung galaxy j3\n'],samsung galaxy j3,samsung galaxy j3,samsung galaxy j2 core
68/6882995b.jpg,How many colors are visible in the image of the phone case?,2,['Question: How many colors are visible in the image of the phone case? Answer: 1\n'],1,1,2
32/32bed264.jpg,What type of motorcycle is featured on the phone case?,Harley davidson,['Question: What type of motorcycle is featured on the phone case? Answer: motorcycle\n'],motorcycle,motorcycle,harley davidson
a5/a5d57086.jpg,What color is the floral print on this cellular phone case?,pink,['Question: What color is the floral print on this cellular phone case? Answer: pink\n'],pink,pink,pink
4d/4d0ee882.jpg,What are the words printed on this phone case?,super girl,['Question: What are the words printed on this phone case? Answer: super\n'],super,super,super girl
ec/eca6ea8c.jpg,What fruit is featured in the design of this cell phone case?,watermelon,['Question: What fruit is featured in the design of this cell phone case? Answer: Watermelon\n'],Watermelon,watermelon,watermelon
55/5509dc9e.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
d8/d8384326.jpg,What material is the phone case made of?,plastic,['Question: What material is the phone case made of? Answer: Wood\n'],Wood,wood,plastic
87/87b50cac.jpg,What type of product is this?,phone case,['Question: What type of product is this? Answer: medicine\n'],medicine,medicine,phone case
16/164be7bb.jpg,What is the most prominent visible object in the image?,Phone,['Question: What is the most prominent visible object in the image? Answer: Heart\n'],Heart,heart,phone
4b/4b553f88.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: mobile phone case\n'],mobile phone case,mobile phone case,cellular phone case
b3/b3dd9b0a.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
3d/3d232dd4.jpg,What type of product is visible in the image?,cellular_phone_case,['Question: What type of product is visible in the image? Answer: a flower\n'],a flower,a flower,cellular phone case
dc/dc58a5c3.jpg,What type of flower does the phone case feature?,lavender,['Question: What type of flower does the phone case feature? Answer:\n'],,,lavender
ea/ea2e12aa.jpg,What is the pattern on this phone case?,graffiti,"[""Question: What is the pattern on this phone case? Answer: It's a smiley face\n""]",It's a smiley face,its a smiley face,graffiti
84/841f48a8.jpg,What material are the leaves in the image?,plastic,['Question: What material are the leaves in the image? Answer:\n'],,,plastic
1a/1a53a78a.jpg,Which color does the phone case have in this image?,multicolor,['Question: Which color does the phone case have in this image? Answer: Orange\n'],Orange,orange,multicolor
69/695de265.jpg,What text is visible on the phone case?,Sweet & sexy,['Question: What text is visible on the phone case? Answer:\n'],,,sweet sexy
9a/9af4ff1a.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
32/329fe089.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
8b/8b6fdc79.jpg,What is the main design element on this product image?,Crack pattern,['Question: What is the main design element on this product image? Answer: The main design element on this product image is the'],The main design element on this product image is the,the main design element on this product image is the,crack pattern
85/854dc407.jpg,What letter is visible on the cellphone case in the image?,x,['Question: What letter is visible on the cellphone case in the image? Answer: x\n'],x,x,x
2d/2d2590f0.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer:\n'],,,cellular phone case
cd/cd4b34a3.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
36/36f19da9.jpg,What type of product is the image showing?,cellular_phone_case,['Question: What type of product is the image showing? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
1a/1aa770fe.jpg,What shape or form does this cellular phone case have?,heart,['Question: What shape or form does this cellular phone case have? Answer: Heart\n'],Heart,heart,heart
a2/a2d07841.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Case for iphone xr\n'],Case for iphone xr,case for iphone xr,cellular phone case
c3/c35c0234.jpg,What text is featured on this item?,dads,['Question: What text is featured on this item? Answer:\n'],,,dads
f8/f86887ee.jpg,What material is the cell phone case made of?,Plastic,['Question: What material is the cell phone case made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,plastic
8f/8fc33083.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Product is a phone case\n'],Product is a phone case,product is a phone case,cellular phone case
38/38abc40a.jpg,What is the main color of the phone case?,Pink,['Question: What is the main color of the phone case? Answer: Black\n'],Black,black,pink
